City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,Kaitangata,-46.2817,169.8464,45.84,85,100,16.89,NZ,2022-07-11 20:39:43
171,Chunoyar,57.4467,97.3217,51.85,88,33,5.44,RU,2022-07-11 20:39:44
172,Ewo,-0.8725,14.8206,80.56,47,66,3.71,CG,2022-07-11 20:39:44
173,Mazatlan,23.2167,-106.4167,90.01,73,40,9.22,MX,2022-07-11 20:39:44
174,Vila Franca Do Campo,37.7167,-25.4333,68.41,81,69,7.58,PT,2022-07-11 20:39:45
175,Port Blair,11.6667,92.75,82.44,83,100,9.22,IN,2022-07-11 20:39:45
176,Shirokiy,49.758,129.523,61.54,97,17,5.39,RU,2022-07-11 20:39:45
177,Komsomolskiy,40.4272,71.7189,77.72,27,53,4.61,UZ,2022-07-11 20:39:46
178,Nishihara,26.1842,127.7558,82.45,86,40,6.91,JP,2022-07-11 20:39:46
179,Mecca,21.4267,39.8261,89.76,29,97,5.77,SA,2022-07-11 20:39:46
180,College,64.8569,-147.8028,62.92,91,100,4.61,US,2022-07-11 20:39:47
181,Loa Janan,-0.583,117.095,72.12,99,99,1.63,ID,2022-07-11 20:39:47
182,Talnakh,69.4865,88.3972,45.21,70,61,14.92,RU,2022-07-11 20:39:47
183,Linguere,15.3953,-15.1193,88.34,47,55,16.26,SN,2022-07-11 20:39:47
184,Cherskiy,68.75,161.3,69.57,36,92,8.32,RU,2022-07-11 20:39:48
185,Comodoro Rivadavia,-45.8667,-67.5,39.06,70,0,2.3,AR,2022-07-11 20:39:48
186,Tual,-5.6667,132.75,78.93,80,100,21.12,ID,2022-07-11 20:39:48
187,Pisco,-13.7,-76.2167,66.25,68,43,10.36,PE,2022-07-11 20:39:49
188,Bengkulu,-3.8004,102.2655,74.25,91,100,4.07,ID,2022-07-11 20:39:49
189,Naze,28.3667,129.4833,76.12,92,100,6.04,JP,2022-07-11 20:40:49
190,Bethel,41.3712,-73.414,87.19,52,20,9.22,US,2022-07-11 20:40:50
191,Lincoln,40.8,-96.667,89.29,49,0,11.5,US,2022-07-11 20:39:58
192,Sao Felix Do Xingu,-6.6447,-51.995,83.77,49,98,1.79,BR,2022-07-11 20:40:50
193,Matara,5.9485,80.5353,78.57,87,100,11.86,LK,2022-07-11 20:40:50
194,Longido,-2.7333,36.6833,60.57,79,49,10.98,TZ,2022-07-11 20:40:51
195,Saint George,37.1041,-113.5841,107.44,13,0,4.0,US,2022-07-11 20:39:59
196,Kruisfontein,-34.0033,24.7314,51.73,78,3,6.8,ZA,2022-07-11 20:40:51
197,Daru,-9.0763,143.2092,77.2,88,86,15.59,PG,2022-07-11 20:40:51
198,Kirensk,57.7853,108.1119,57.63,91,72,2.91,RU,2022-07-11 20:40:52
199,Kendari,-3.945,122.4989,73.44,94,100,1.61,ID,2022-07-11 20:40:52
200,Manaus,-3.1019,-60.025,90.1,62,20,8.05,BR,2022-07-11 20:40:52
201,Goderich,43.7501,-81.7165,82.9,39,35,19.57,CA,2022-07-11 20:40:53
202,San Policarpo,12.1791,125.5072,77.7,86,100,4.76,PH,2022-07-11 20:40:53
203,Salalah,17.0151,54.0924,77.09,94,100,9.22,OM,2022-07-11 20:40:53
204,Havoysund,70.9963,24.6622,48.43,88,9,1.57,NO,2022-07-11 20:40:54
205,Khatanga,71.9667,102.5,42.57,65,100,14.03,RU,2022-07-11 20:40:54
206,Houma,29.5958,-90.7195,96.01,77,75,16.11,US,2022-07-11 20:40:54
207,Poum,-20.2333,164.0167,72.81,68,0,13.04,NC,2022-07-11 20:40:55
208,Luderitz,-26.6481,15.1594,56.75,67,0,16.13,NA,2022-07-11 20:40:55
209,Puksoozero,62.5903,40.6066,61.41,95,27,4.07,RU,2022-07-11 20:40:55
210,Paita,-5.0892,-81.1144,68.31,73,7,18.39,PE,2022-07-11 20:40:55
211,Sobolevo,54.4299,31.8996,58.93,99,100,6.4,RU,2022-07-11 20:40:56
212,Margau,46.75,22.9667,47.35,69,45,4.21,RO,2022-07-11 20:40:56
213,Lavrentiya,65.5833,-171.0,43.2,90,100,4.74,RU,2022-07-11 20:40:56
214,Washim,20.1,77.15,72.01,95,100,15.61,IN,2022-07-11 20:40:57
215,Fortuna,40.5982,-124.1573,79.93,64,0,5.01,US,2022-07-11 20:40:57
216,Provideniya,64.3833,-173.3,51.91,76,0,11.18,RU,2022-07-11 20:40:57
217,Ancud,-41.8697,-73.8203,44.22,86,100,17.85,CL,2022-07-11 20:40:58
218,Sistranda,63.7256,8.834,55.36,83,97,4.5,NO,2022-07-11 20:40:58
219,Kinsale,51.7075,-8.5306,65.57,82,75,5.75,IE,2022-07-11 20:40:58
220,Torres,-29.3353,-49.7269,78.82,79,100,7.65,BR,2022-07-11 20:40:59
221,Saint-Esteve,42.7131,2.843,79.72,58,0,5.75,FR,2022-07-11 20:40:59
222,Margate,51.3813,1.3862,70.3,80,100,3.0,GB,2022-07-11 20:36:26
223,Vardo,70.3705,31.1107,48.18,100,100,1.14,NO,2022-07-11 20:40:59
224,Gravdal,68.1214,13.5031,53.49,100,75,17.27,NO,2022-07-11 20:40:59
225,Qaqortoq,60.7167,-46.0333,42.51,88,43,6.22,GL,2022-07-11 20:41:00
226,Dikson,73.5069,80.5464,37.26,93,99,8.93,RU,2022-07-11 20:41:00
227,Tura,25.5198,90.2201,75.0,91,9,4.79,IN,2022-07-11 20:41:00
228,Bouar,5.934,15.596,65.88,95,100,0.98,CF,2022-07-11 20:41:01
229,Tasiilaq,65.6145,-37.6368,53.76,75,100,2.91,GL,2022-07-11 20:41:01
230,Haines Junction,60.7522,-137.5108,62.55,48,100,10.36,CA,2022-07-11 20:41:01
231,Torbay,47.6666,-52.7314,72.37,44,75,20.71,CA,2022-07-11 20:41:02
232,Madimba,-10.4,40.3333,69.62,85,5,9.33,TZ,2022-07-11 20:41:02
233,Sorland,67.667,12.6934,53.46,94,100,20.54,NO,2022-07-11 20:41:03
234,Fairbanks,64.8378,-147.7164,62.94,91,100,4.61,US,2022-07-11 20:41:04
235,Golden,39.7555,-105.2211,80.02,55,75,4.0,US,2022-07-11 20:40:56
236,Beatrice,40.2681,-96.747,85.17,54,0,10.36,US,2022-07-11 20:42:05
237,Srednekolymsk,67.45,153.6833,81.46,46,92,7.36,RU,2022-07-11 20:42:05
238,Maues,-3.3836,-57.7186,83.79,69,97,2.26,BR,2022-07-11 20:42:05
239,San Francisco,37.7749,-122.4194,98.31,69,20,20.71,US,2022-07-11 20:38:02
240,Namibe,-15.1961,12.1522,66.42,84,89,4.45,AO,2022-07-11 20:42:06
241,La Ronge,55.1001,-105.2842,70.02,68,75,13.8,CA,2022-07-11 20:42:06
242,Berbera,10.4396,45.0143,85.5,45,34,21.59,SO,2022-07-11 20:42:06
243,Sao Filipe,14.8961,-24.4956,73.85,85,42,8.39,CV,2022-07-11 20:42:07
244,Meylan,45.2199,5.7901,76.48,68,0,3.71,FR,2022-07-11 20:42:07
245,Rincon,32.296,-81.2354,84.16,79,75,10.36,US,2022-07-11 20:42:08
246,Canton,23.1167,113.25,84.87,77,15,2.33,CN,2022-07-11 20:42:08
247,Vostok,46.4856,135.8833,62.56,97,100,0.54,RU,2022-07-11 20:42:08
248,Karagaylinskiy,54.172,86.5521,59.34,69,0,9.08,RU,2022-07-11 20:42:09
249,Pervomayskiy,53.2485,40.2871,66.96,75,100,21.63,RU,2022-07-11 20:42:09
250,Middletown,39.5151,-84.3983,89.56,54,0,51.0,US,2022-07-11 20:42:09
