City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
298,Camacha,PT,69.22,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
299,Sechura,PE,70.05,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
301,Saint-Pierre,RE,69.48,broken clouds,-21.3393,55.4781,Alize Plage
303,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
305,Baijiantan,CN,84.51,scattered clouds,45.6333,85.1833,
306,Roquetas De Mar,ES,83.61,few clouds,36.7642,-2.6148,Mediterráneo Bay Hotel and Resort
308,Tsubata,JP,76.17,overcast clouds,36.6667,136.7333,Meruhen
310,Miyako,JP,68.36,light rain,39.6367,141.9525,Hotel Route Inn Miyako
314,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
317,Umm Lajj,SA,87.82,broken clouds,25.0213,37.2685,Moon light Furnished Units
319,Palu,ID,76.41,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
322,Jiaojiang,CN,76.46,overcast clouds,28.6803,121.4428,Fangyuan Hotel
324,Lufilufi,WS,79.52,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
325,Berlevag,NO,66.0,clear sky,70.8578,29.0864,Kvitbrakka
328,Cabo San Lucas,MX,87.1,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
329,Tura,IN,78.78,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
334,Banjar,ID,75.42,overcast clouds,-8.19,114.9675,The Hamsa Resort
335,Hiranagar,IN,88.14,broken clouds,32.45,75.2667,Bhati nehru
337,Micheweni,TZ,75.87,broken clouds,-4.9667,39.8333,
338,Gasa,PS,86.88,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
341,Trairi,BR,86.77,few clouds,-3.2778,-39.2689,janelas do mar
342,Bollnas,SE,71.01,overcast clouds,61.3482,16.3946,Grand Hotel
345,Buala,SB,78.96,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
347,Beitbridge,ZW,73.6,scattered clouds,-22.2167,30.0,Beitbridge Express Hotel
351,Enshi,CN,77.85,overcast clouds,30.3,109.4833,Moevenpick Enshi
353,Porbandar,IN,81.73,broken clouds,21.6422,69.6093,Lords Inn Porbandar
354,Great Falls,US,85.41,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
355,Sterling,US,88.25,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
358,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
